Query ID	Query UniProt	Partner UniProt	Query Symbol	Partner Symbol	Species	Evidence Type
Q07812	Q07812	Q99683	BAX	MAP3K5	human	exp
Q07812	Q07812	P31947	BAX	SFN	human	exp
Q07812	Q07812	P10809	BAX	HSPD1	human	exp,ortho,pred
Q07812	Q07812	Q86Y07	BAX	VRK2	human	exp
Q07812	Q07812	O43167	BAX	ZBTB24	human	exp
Q07812	Q07812	P27348	BAX	YWHAQ	human	exp
Q07812	Q07812	Q9C002	BAX	NMES1	human	exp
Q07812	Q07812	P31946	BAX	YWHAB	human	exp
Q07812	Q07812	Q8IVG9	BAX	MT-RNR2	human	exp
Q07812	Q07812	Q14790	BAX	CASP8	human	exp,pred
Q07812	Q07812	P62136	BAX	PPP1CA	human	exp,pred
Q07812	Q07812	O60238	BAX	BNIP3L	human	exp,pred
Q07812	Q07812	P34932	BAX	HSPA4	human	exp
Q07812	Q07812	P14618	BAX	PKM	human	exp
Q07812	Q07812	P25490	BAX	YY1	human	exp
Q07812	Q07812	Q99814	BAX	EPAS1	human	exp
Q07812	Q07812	Q8IY17	BAX	PNPLA6	human	exp
Q07812	Q07812	Q9BXH1	BAX	BBC3	human	exp,pred
Q07812	Q07812	O95831	BAX	AIFM1	human	exp
Q07812	Q07812	Q07820	BAX	MCL1	human	exp,ortho,pred
Q07812	Q07812	Q92934	BAX	BAD	human	exp,pred
Q07812	Q07812	Q13323	BAX	BIK	human	exp,pred
Q07812	Q07812	Q5S007	BAX	LRRK2	human	exp
Q07812	Q07812	P22001	BAX	KCNA3	human	exp,pred
Q07812	Q07812	A6H8Y1	BAX	BDP1	human	exp
Q07812	Q07812	Q02750	BAX	MAP2K1	human	exp
Q07812	Q07812	Q8N4C6	BAX	NIN	human	exp
Q07812	Q07812	Q01094	BAX	E2F1	human	exp
Q07812	Q07812	Q96QE3	BAX	ATAD5	human	exp
Q07812	Q07812	P04637	BAX	TP53	human	exp,ortho,pred
Q07812	Q07812	Q05513	BAX	PRKCZ	human	exp,pred
Q07812	Q07812	P62195	BAX	PSMC5	human	exp
Q07812	Q07812	Q92688	BAX	ANP32B	human	exp
Q07812	Q07812	P12956	BAX	XRCC6	human	exp
Q07812	Q07812	Q9NS69	BAX	TOMM22	human	exp,pred
Q07812	Q07812	Q96PG8	BAX	BBC3	human	exp
Q07812	Q07812	Q93038	BAX	TNFRSF25	human	exp
Q07812	Q07812	Q9Y371	BAX	SH3GLB1	human	exp,pred
Q07812	Q07812	O60936	BAX	NOL3	human	exp,ortho,pred
Q07812	Q07812	Q13526	BAX	PIN1	human	exp,pred
Q07812	Q07812	P49841	BAX	GSK3B	human	exp,pred
Q07812	Q07812	Q96F15	BAX	GIMAP5	human	exp
Q07812	Q07812	O75208	BAX	COQ9	human	exp
Q07812	Q07812	O95817	BAX	BAG3	human	exp,pred
Q07812	Q07812	P48736	BAX	PIK3CG	human	exp
Q07812	Q07812	P10909	BAX	CLU	human	exp,pred
Q07812	Q07812	Q9UBN7	BAX	HDAC6	human	exp
Q07812	Q07812	P21796	BAX	VDAC1	human	exp,ortho,pred
Q07812	Q07812	O43521	BAX	BCL2L11	human	exp,ortho,pred
Q07812	Q07812	Q9UJU2	BAX	LEF1	human	exp
Q07812	Q07812	P02511	BAX	CRYAB	human	exp
Q07812	Q07812	O96008	BAX	TOMM40	human	exp,pred
Q07812	Q07812	P55211	BAX	CASP9	human	exp,pred
Q07812	Q07812	Q9P2Y5	BAX	UVRAG	human	exp
Q07812	Q07812	P37840	BAX	SNCA	human	exp,pred
Q07812	Q07812	P32119	BAX	PRDX2	human	exp
Q07812	Q07812	P17980	BAX	PSMC3	human	exp
Q07812	Q07812	P52333	BAX	JAK3	human	exp
Q07812	Q07812	P17252	BAX	PRKCA	human	exp
Q07812	Q07812	Q06187	BAX	BTK	human	exp
Q07812	Q07812	Q12983	BAX	BNIP3	human	exp,pred
Q07812	Q07812	Q9ULZ3	BAX	PYCARD	human	exp,pred
Q07812	Q07812	Q16548	BAX	BCL2A1	human	exp,pred
Q07812	Q07812	P42574	BAX	CASP3	human	exp,pred
Q07812	Q07812	P06493	BAX	CDK1	human	exp,pred
Q07812	Q07812	O95084	BAX	PRSS23	human	exp
Q16611	Q16611	Q9NRK6	BAK1	ABCB10	human	exp
Q16611	Q16611	Q9UQ35	BAK1	SRRM2	human	exp
Q16611	Q16611	O75460	BAK1	ERN1	human	exp,pred
Q16611	Q16611	P52565	BAK1	ARHGDIA	human	exp
Q16611	Q16611	O43521	BAK1	BCL2L11	human	exp,pred
Q16611	Q16611	P61160	BAK1	ACTR2	human	exp
Q16611	Q16611	P10809	BAK1	HSPD1	human	exp
Q16611	Q16611	Q9P0U1	BAK1	TOMM7	human	exp
Q16611	Q16611	Q12802	BAK1	AKAP13	human	exp
Q16611	Q16611	O00273	BAK1	DFFA	human	exp,pred
Q16611	Q16611	Q14457	BAK1	BECN1	human	exp,pred
Q16611	Q16611	Q9HD36	BAK1	BCL2L10	human	exp,pred
Q16611	Q16611	Q8IWA4	BAK1	MFN1	human	exp,ortho,pred
Q16611	Q16611	P21796	BAK1	VDAC1	human	exp,pred
Q16611	Q16611	Q16643	BAK1	DBN1	human	exp
Q16611	Q16611	Q92843	BAK1	BCL2L2	human	exp,pred
Q16611	Q16611	Q15751	BAK1	HERC1	human	exp
Q16611	Q16611	O94915	BAK1	FRYL	human	exp
Q16611	Q16611	P45880	BAK1	VDAC2	human	exp,ortho,pred
Q16611	Q16611	Q05086	BAK1	UBE3A	human	exp,pred
Q16611	Q16611	Q7L3V2	BAK1	BOP	human	exp
Q16611	Q16611	O95140	BAK1	MFN2	human	exp,ortho
Q16611	Q16611	Q15653	BAK1	NFKBIB	human	exp
Q16611	Q16611	P51659	BAK1	HSD17B4	human	exp
Q16611	Q16611	P22087	BAK1	FBL	human	exp
Q16611	Q16611	Q15323	BAK1	KRT31	human	exp,pred
Q16611	Q16611	O75592	BAK1	MYCBP2	human	exp
Q16611	Q16611	P55957	BAK1	BID	human	exp,pred
Q16611	Q16611	O96008	BAK1	TOMM40	human	exp,pred
Q16611	Q16611	P04637	BAK1	TP53	human	exp,pred
Q16611	Q16611	Q16611	BAK1	BAK1	human	exp,ortho
Q16611	Q16611	Q96F15	BAK1	GIMAP5	human	exp
Q9HB09	Q9HB09	P0CG48	BCL2L12	UBC	human	exp
Q9HB09	Q9HB09	O43765	BCL2L12	SGTA	human	exp
Q9HB09	Q9HB09	P04637	BCL2L12	TP53	human	exp
Q9HB09	Q9HB09	Q9ULJ8	BCL2L12	PPP1R9A	human	exp
Q9HB09	Q9HB09	P34932	BCL2L12	HSPA4	human	exp
Q9HB09	Q9HB09	P0DMV8	BCL2L12	HSPA1A	human	exp
Q9HB09	Q9HB09	P04746	BCL2L12	AMY2A	human	exp
Q9BXK5	Q9BXK5	Q9Y342	BCL2L13	PLLP	human	exp
Q9BXK5	Q9BXK5	O75841	BCL2L13	UPK1B	human	exp
Q9BXK5	Q9BXK5	Q8N661	BCL2L13	TMEM86B	human	exp
Q9BXK5	Q9BXK5	Q15836	BCL2L13	VAMP3	human	exp
Q9BXK5	Q9BXK5	P60520	BCL2L13	GABARAPL2	human	exp
Q9BXK5	Q9BXK5	O75379	BCL2L13	VAMP4	human	exp
Q9BXK5	Q9BXK5	P12235	BCL2L13	SLC25A4	human	exp
Q9BXK5	Q9BXK5	P49286	BCL2L13	MTNR1B	human	exp
Q9BXK5	Q9BXK5	Q71RG4	BCL2L13	TMUB2	human	exp
Q9BXK5	Q9BXK5	Q5BJH2	BCL2L13	TMEM128	human	exp
Q9BXK5	Q9BXK5	Q9H1Z9	BCL2L13	TSPAN10	human	exp
Q9BXK5	Q9BXK5	P05067	BCL2L13	APP	human	exp
Q9BXK5	Q9BXK5	Q9NZG7	BCL2L13	NINJ2	human	exp
Q9BXK5	Q9BXK5	O15155	BCL2L13	BET1	human	exp
Q9BXK5	Q9BXK5	P10809	BCL2L13	HSPD1	human	exp
Q9BXK5	Q9BXK5	P26678	BCL2L13	PLN	human	exp
Q9BZR8	Q9BZR8	O43617	BCL2L14	TRAPPC3	human	exp
Q9BZR8	Q9BZR8	O94776	BCL2L14	MTA2	human	exp
Q9BZR8	Q9BZR8	O14757	BCL2L14	CHEK1	human	exp
Q9BZR8	Q9BZR8	Q96Q05	BCL2L14	TRAPPC9	human	exp
Q9BZR8	Q9BZR8	Q8WVR3	BCL2L14	C7orf43	human	exp
Q9BZR8	Q9BZR8	P40337	BCL2L14	VHL	human	exp
Q9BZR8	Q9BZR8	Q9UL33	BCL2L14	TRAPPC2L	human	exp
Q9BZR8	Q9BZR8	Q9Y296	BCL2L14	TRAPPC4	human	exp
Q9BZR8	Q9BZR8	Q66LE6	BCL2L14	PPP2R2D	human	exp
Q9BZR8	Q9BZR8	Q86SZ2	BCL2L14	TRAPPC6B	human	exp
Q9BZR8	Q9BZR8	Q14680	BCL2L14	MELK	human	exp
Q9BZR8	Q9BZR8	Q92905	BCL2L14	COPS5	human	exp
Q9BZR8	Q9BZR8	Q8IUR0	BCL2L14	TRAPPC5	human	exp
Q9BZR8	Q9BZR8	P48553	BCL2L14	TRAPPC10	human	exp
Q9BZR8	Q9BZR8	P0DI82	BCL2L14	TRAPPC2B	human	exp
Q9BZR8	Q9BZR8	Q9Y5R8	BCL2L14	TRAPPC1	human	exp
Q5TBC7	Q5TBC7	P50222	BCL2L15	MEOX2	human	exp
Q5TBC7	Q5TBC7	O00560	BCL2L15	SDCBP	human	exp
Q5TBC7	Q5TBC7	Q15562	BCL2L15	TEAD2	human	exp
